Altium Designer Pick and Place Locations
C:\Users\SUYUD\Desktop\图\遥控2\Pick Place for 2X4PING.csv

========================================================================================================================
File Design Information:

Date:       04/12/25
Time:       10:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C4","10uF","TopLayer","CAP-0603","19.5250","50.4500","180","无极性电容"
"C2","33nF","TopLayer","CAP-0603","16.4750","47.4000","270","无极性电容"
"C1","33uF/100V","TopLayer","25V330UF-ZC","5.2500","61.9250","180",""
"RF1","6GHz","TopLayer","CONN-SMD_GT-RF1125A-01G","33.9750","67.5750","180",""
"P4","Plug","TopLayer","HEADER_1","37.9150","70.9750","180","安装孔"
"P1","Header 7","TopLayer","HDR1X7","21.1300","80.9250","0","Header, 7-Pin"
"K1","SW-PB","TopLayer","SW-SMD_L3.9-W3.0-P4.45","30.6250","83.3000","180","微动开关"
"C6","100nF","TopLayer","CAP-0603","19.5154","68.6342","180","无极性电容"
"C3","1uF","TopLayer","CAP-0603","19.5500","66.9250","180","无极性电容"
"P2","Header 6","TopLayer","HDR1X6","17.4850","82.8750","180","Header, 6-Pin"
"U2","AMS1117-3.3","TopLayer","SOT89","19.9000","73.9001","180","3.3V稳压芯片"
"U1","XL7005A","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1","13.6750","74.5000","0",""
"R10","1K","TopLayer","0603_-_duplicate1","24.5000","67.1750","90","贴片电阻"
"R9","10K","TopLayer","0603_-_duplicate1","35.1298","72.6832","90","贴片电阻"
"R8","1K","TopLayer","0603_-_duplicate1","33.2502","72.6832","90","贴片电阻"
"R7","4.7K","TopLayer","0603_-_duplicate1","31.2182","75.6170","90","贴片电阻"
"R6","10K","TopLayer","0603_-_duplicate1","29.0488","72.6082","90","贴片电阻"
"R5","1K","TopLayer","0603_-_duplicate1","27.1946","72.6082","90","贴片电阻"
"R4","4.7K","TopLayer","0603_-_duplicate1","25.1880","75.5420","90","贴片电阻"
"R3","3.3K","TopLayer","0603_-_duplicate1","15.2250","69.9000","0",""
"R2","10K","TopLayer","0603_-_duplicate1","14.3750","67.4500","270",""
"R1","1K","TopLayer","0603_-_duplicate1","35.2500","82.6500","90","贴片电阻"
"Q2","SS8050","TopLayer","SOT-23","34.0564","76.3892","90","NPN贴片三极管"
"Q1","SS8050","TopLayer","SOT-23","27.9754","76.3142","90","NPN贴片三极管"
"LED2","LED","TopLayer","LED_0805","26.4500","67.3000","90","发光二极管"
"LED1","LED","TopLayer","LED_0805","37.4750","82.5750","90","发光二极管"
"L1","47uH","TopLayer","IND-SMD_L4.0-W4.0_FNR4012S","8.1250","68.6750","90",""
"D1","S210","TopLayer","SOD-123","6.7250","72.4250","0",""
"C5","10uF","TopLayer","CAP-0603","20.2250","77.4250","0","无极性电容"
"C4","10uF","TopLayer","CAP-0603","19.5250","70.4500","180","无极性电容"
"C2","33nF","TopLayer","CAP-0603","16.4750","67.4000","270","无极性电容"
"C1","33uF/100V","TopLayer","25V330UF-ZC","5.2500","81.9250","180",""
"RF1","6GHz","TopLayer","CONN-SMD_GT-RF1125A-01G","73.9750","7.5750","180",""
"P4","Plug","TopLayer","HEADER_1","77.9150","10.9750","180","安装孔"
"P1","Header 7","TopLayer","HDR1X7","61.1300","20.9250","0","Header, 7-Pin"
"K1","SW-PB","TopLayer","SW-SMD_L3.9-W3.0-P4.45","70.6250","23.3000","180","微动开关"
"C6","100nF","TopLayer","CAP-0603","59.5154","8.6342","180","无极性电容"
"C3","1uF","TopLayer","CAP-0603","59.5500","6.9250","180","无极性电容"
"P2","Header 6","TopLayer","HDR1X6","57.4850","22.8750","180","Header, 6-Pin"
"U2","AMS1117-3.3","TopLayer","SOT89","59.9000","13.9001","180","3.3V稳压芯片"
"U1","XL7005A","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1","53.6750","14.5000","0",""
"R10","1K","TopLayer","0603_-_duplicate1","64.5000","7.1750","90","贴片电阻"
"R9","10K","TopLayer","0603_-_duplicate1","75.1298","12.6832","90","贴片电阻"
"R8","1K","TopLayer","0603_-_duplicate1","73.2502","12.6832","90","贴片电阻"
"R7","4.7K","TopLayer","0603_-_duplicate1","71.2182","15.6170","90","贴片电阻"
"R6","10K","TopLayer","0603_-_duplicate1","69.0488","12.6082","90","贴片电阻"
"R5","1K","TopLayer","0603_-_duplicate1","67.1946","12.6082","90","贴片电阻"
"R4","4.7K","TopLayer","0603_-_duplicate1","65.1880","15.5420","90","贴片电阻"
"R3","3.3K","TopLayer","0603_-_duplicate1","55.2250","9.9000","0",""
"R2","10K","TopLayer","0603_-_duplicate1","54.3750","7.4500","270",""
"R1","1K","TopLayer","0603_-_duplicate1","75.2500","22.6500","90","贴片电阻"
"Q2","SS8050","TopLayer","SOT-23","74.0564","16.3892","90","NPN贴片三极管"
"Q1","SS8050","TopLayer","SOT-23","67.9754","16.3142","90","NPN贴片三极管"
"LED2","LED","TopLayer","LED_0805","66.4500","7.3000","90","发光二极管"
"LED1","LED","TopLayer","LED_0805","77.4750","22.5750","90","发光二极管"
"L1","47uH","TopLayer","IND-SMD_L4.0-W4.0_FNR4012S","48.1250","8.6750","90",""
"D1","S210","TopLayer","SOD-123","46.7250","12.4250","0",""
"C5","10uF","TopLayer","CAP-0603","60.2250","17.4250","0","无极性电容"
"C4","10uF","TopLayer","CAP-0603","59.5250","10.4500","180","无极性电容"
"C2","33nF","TopLayer","CAP-0603","56.4750","7.4000","270","无极性电容"
"C1","33uF/100V","TopLayer","25V330UF-ZC","45.2500","21.9250","180",""
"RF1","6GHz","TopLayer","CONN-SMD_GT-RF1125A-01G","73.9750","27.5750","180",""
"P4","Plug","TopLayer","HEADER_1","77.9150","30.9750","180","安装孔"
"P1","Header 7","TopLayer","HDR1X7","61.1300","40.9250","0","Header, 7-Pin"
"K1","SW-PB","TopLayer","SW-SMD_L3.9-W3.0-P4.45","70.6250","43.3000","180","微动开关"
"C6","100nF","TopLayer","CAP-0603","59.5154","28.6342","180","无极性电容"
"C3","1uF","TopLayer","CAP-0603","59.5500","26.9250","180","无极性电容"
"P2","Header 6","TopLayer","HDR1X6","57.4850","42.8750","180","Header, 6-Pin"
"U2","AMS1117-3.3","TopLayer","SOT89","59.9000","33.9001","180","3.3V稳压芯片"
"U1","XL7005A","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1","53.6750","34.5000","0",""
"R10","1K","TopLayer","0603_-_duplicate1","64.5000","27.1750","90","贴片电阻"
"R9","10K","TopLayer","0603_-_duplicate1","75.1298","32.6832","90","贴片电阻"
"R8","1K","TopLayer","0603_-_duplicate1","73.2502","32.6832","90","贴片电阻"
"R7","4.7K","TopLayer","0603_-_duplicate1","71.2182","35.6170","90","贴片电阻"
"R6","10K","TopLayer","0603_-_duplicate1","69.0488","32.6082","90","贴片电阻"
"R5","1K","TopLayer","0603_-_duplicate1","67.1946","32.6082","90","贴片电阻"
"R4","4.7K","TopLayer","0603_-_duplicate1","65.1880","35.5420","90","贴片电阻"
"R3","3.3K","TopLayer","0603_-_duplicate1","55.2250","29.9000","0",""
"R2","10K","TopLayer","0603_-_duplicate1","54.3750","27.4500","270",""
"R1","1K","TopLayer","0603_-_duplicate1","75.2500","42.6500","90","贴片电阻"
"Q2","SS8050","TopLayer","SOT-23","74.0564","36.3892","90","NPN贴片三极管"
"Q1","SS8050","TopLayer","SOT-23","67.9754","36.3142","90","NPN贴片三极管"
"LED2","LED","TopLayer","LED_0805","66.4500","27.3000","90","发光二极管"
"LED1","LED","TopLayer","LED_0805","77.4750","42.5750","90","发光二极管"
"L1","47uH","TopLayer","IND-SMD_L4.0-W4.0_FNR4012S","48.1250","28.6750","90",""
"D1","S210","TopLayer","SOD-123","46.7250","32.4250","0",""
"C5","10uF","TopLayer","CAP-0603","60.2250","37.4250","0","无极性电容"
"C4","10uF","TopLayer","CAP-0603","59.5250","30.4500","180","无极性电容"
"C2","33nF","TopLayer","CAP-0603","56.4750","27.4000","270","无极性电容"
"C1","33uF/100V","TopLayer","25V330UF-ZC","45.2500","41.9250","180",""
"RF1","6GHz","TopLayer","CONN-SMD_GT-RF1125A-01G","73.9750","47.5750","180",""
"P4","Plug","TopLayer","HEADER_1","77.9150","50.9750","180","安装孔"
"P1","Header 7","TopLayer","HDR1X7","61.1300","60.9250","0","Header, 7-Pin"
"K1","SW-PB","TopLayer","SW-SMD_L3.9-W3.0-P4.45","70.6250","63.3000","180","微动开关"
"C6","100nF","TopLayer","CAP-0603","59.5154","48.6342","180","无极性电容"
"C3","1uF","TopLayer","CAP-0603","59.5500","46.9250","180","无极性电容"
"P2","Header 6","TopLayer","HDR1X6","57.4850","62.8750","180","Header, 6-Pin"
"U2","AMS1117-3.3","TopLayer","SOT89","59.9000","53.9001","180","3.3V稳压芯片"
"U1","XL7005A","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1","53.6750","54.5000","0",""
"R10","1K","TopLayer","0603_-_duplicate1","64.5000","47.1750","90","贴片电阻"
"R9","10K","TopLayer","0603_-_duplicate1","75.1298","52.6832","90","贴片电阻"
"R8","1K","TopLayer","0603_-_duplicate1","73.2502","52.6832","90","贴片电阻"
"R7","4.7K","TopLayer","0603_-_duplicate1","71.2182","55.6170","90","贴片电阻"
"R6","10K","TopLayer","0603_-_duplicate1","69.0488","52.6082","90","贴片电阻"
"R5","1K","TopLayer","0603_-_duplicate1","67.1946","52.6082","90","贴片电阻"
"R4","4.7K","TopLayer","0603_-_duplicate1","65.1880","55.5420","90","贴片电阻"
"R3","3.3K","TopLayer","0603_-_duplicate1","55.2250","49.9000","0",""
"R2","10K","TopLayer","0603_-_duplicate1","54.3750","47.4500","270",""
"R1","1K","TopLayer","0603_-_duplicate1","75.2500","62.6500","90","贴片电阻"
"Q2","SS8050","TopLayer","SOT-23","74.0564","56.3892","90","NPN贴片三极管"
"Q1","SS8050","TopLayer","SOT-23","67.9754","56.3142","90","NPN贴片三极管"
"LED2","LED","TopLayer","LED_0805","66.4500","47.3000","90","发光二极管"
"LED1","LED","TopLayer","LED_0805","77.4750","62.5750","90","发光二极管"
"L1","47uH","TopLayer","IND-SMD_L4.0-W4.0_FNR4012S","48.1250","48.6750","90",""
"D1","S210","TopLayer","SOD-123","46.7250","52.4250","0",""
"C5","10uF","TopLayer","CAP-0603","60.2250","57.4250","0","无极性电容"
"C4","10uF","TopLayer","CAP-0603","59.5250","50.4500","180","无极性电容"
"C2","33nF","TopLayer","CAP-0603","56.4750","47.4000","270","无极性电容"
"C1","33uF/100V","TopLayer","25V330UF-ZC","45.2500","61.9250","180",""
"RF1","6GHz","TopLayer","CONN-SMD_GT-RF1125A-01G","73.9750","67.5750","180",""
"P4","Plug","TopLayer","HEADER_1","77.9150","70.9750","180","安装孔"
"P1","Header 7","TopLayer","HDR1X7","61.1300","80.9250","0","Header, 7-Pin"
"K1","SW-PB","TopLayer","SW-SMD_L3.9-W3.0-P4.45","70.6250","83.3000","180","微动开关"
"C6","100nF","TopLayer","CAP-0603","59.5154","68.6342","180","无极性电容"
"C3","1uF","TopLayer","CAP-0603","59.5500","66.9250","180","无极性电容"
"P2","Header 6","TopLayer","HDR1X6","57.4850","82.8750","180","Header, 6-Pin"
"U2","AMS1117-3.3","TopLayer","SOT89","59.9000","73.9001","180","3.3V稳压芯片"
"U1","XL7005A","TopLayer","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1","53.6750","74.5000","0",""
"R10","1K","TopLayer","0603_-_duplicate1","64.5000","67.1750","90","贴片电阻"
"R9","10K","TopLayer","0603_-_duplicate1","75.1298","72.6832","90","贴片电阻"
"R8","1K","TopLayer","0603_-_duplicate1","73.2502","72.6832","90","贴片电阻"
"R7","4.7K","TopLayer","0603_-_duplicate1","71.2182","75.6170","90","贴片电阻"
"R6","10K","TopLayer","0603_-_duplicate1","69.0488","72.6082","90","贴片电阻"
"R5","1K","TopLayer","0603_-_duplicate1","67.1946","72.6082","90","贴片电阻"
"R4","4.7K","TopLayer","0603_-_duplicate1","65.1880","75.5420","90","贴片电阻"
"R3","3.3K","TopLayer","0603_-_duplicate1","55.2250","69.9000","0",""
"R2","10K","TopLayer","0603_-_duplicate1","54.3750","67.4500","270",""
"R1","1K","TopLayer","0603_-_duplicate1","75.2500","82.6500","90","贴片电阻"
"Q2","SS8050","TopLayer","SOT-23","74.0564","76.3892","90","NPN贴片三极管"
"Q1","SS8050","TopLayer","SOT-23","67.9754","76.3142","90","NPN贴片三极管"
"LED2","LED","TopLayer","LED_0805","66.4500","67.3000","90","发光二极管"
"LED1","LED","TopLayer","LED_0805","77.4750","82.5750","90","发光二极管"
"L1","47uH","TopLayer","IND-SMD_L4.0-W4.0_FNR4012S","48.1250","68.6750","90",""
"D1","S210","TopLayer","SOD-123","46.7250","72.4250","0",""
"C5","10uF","TopLayer","CAP-0603","60.2250","77.4250","0","无极性电容"
"C4","10uF","TopLayer","CAP-0603","59.5250","70.4500","180","无极性电容"
"C2","33nF","TopLayer","CAP-0603","56.4750","67.4000","270","无极性电容"
"C1","33uF/100V","TopLayer","25V330UF-ZC","45.2500","81.9250","180",""
